feature,mi
Sex_male,0.1547227350251399
Title_Mr,0.15264473810948798
Fare_squared,0.1506507623366924
Fare_log,0.1463091380319732
Fare,0.132403300169754
Age,0.06353296795538088
FamilySize,0.05293122647368875
Pclass,0.048863149203193235
Title_Mrs,0.04215126892350862
is_child_1,0.03446119601132791
Title_Miss,0.03231455922154525
SibSp,0.024464637788997212
Embarked_Q,0.020055781716530996
Embarked_S,0.017152256002209043
IsAlone,0.0
Parch,0.0
Title_Rare,0.0
is_teen_1,0.0
